Application,QProto Name,NetMon Old Name,NetMon New Short Name,NetMon New Long Name,Syslog Field,SIEM MPE Tag,SIEM Mapped Field (6.3 Name),SIEM Long Name 6.3,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM_EXPRESS,contact_statusQ_PROTO_AIM_EXPRESS,contact_status,ContactStatus,Contact Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM_EXPRESS,loginQ_PROTO_AIM_EXPRESS,login,Login,Login,login,<login>,Login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM_EXPRESS,messageQ_PROTO_AIM_EXPRESS,message,Msg,Message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM_EXPRESS,receiverQ_PROTO_AIM_EXPRESS,receiver,Receiver,Receiver,recipient,<recipient>,Recipient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM_EXPRESS,senderQ_PROTO_AIM_EXPRESS,sender,Sender,Sender,sender,<sender>,Sender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM_EXPRESS,versionQ_PROTO_AIM_EXPRESS,version,Version,Version,version,<version>,Version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM_TRANSFER,filenameQ_PROTO_AIM_TRANSFER,filename,Filename,Filename,objectname,<objectname>,Object Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM_TRANSFER,filename_encodingQ_PROTO_AIM_TRANSFER,filename_encoding,FilenameEncoding,Filename Encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM_TRANSFER,filesizeQ_PROTO_AIM_TRANSFER,filesize,FileSize,File Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIMS,loginQ_PROTO_AIMS,login,Login,Login,login,<login>,Login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMQP,major_versionQ_PROTO_AMQP,major_version,MajorVersion,Major Version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMQP,minor_versionQ_PROTO_AMQP,minor_version,MinorVersion,Minor Version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMQP,response_timeQ_PROTO_AMQP,response_time,ResponseTime,Response Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPLE_UPDATE,pkg_nameQ_PROTO_APPLE_UPDATE,pkg_name,PkgName,Package Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPSTORE,application_nameQ_PROTO_APPSTORE,application_name,AppName,Application Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPSTORE,connection_typeQ_PROTO_APPSTORE,connection_type,ConnectionType,Connection Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPSTORE,device_typeQ_PROTO_APPSTORE,device_type,DeviceType,Device Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHIVE,actionQ_PROTO_ARCHIVE,action,Action,Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHIVE,creatorQ_PROTO_ARCHIVE,creator,Creator,Creator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHIVE,descriptionQ_PROTO_ARCHIVE,description,Description,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHIVE,encodingQ_PROTO_ARCHIVE,encoding,Encoding,Encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHIVE,filenameQ_PROTO_ARCHIVE,filename,Filename,Filename,objectname,<objectname>,Object Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHIVE,loginQ_PROTO_ARCHIVE,login,Login,Login,login,<login>,Login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
